Apartment,sqft_Floor_Area,Bedrooms,Attached_Bathrooms,Balcony,Pantry_and_Kitechen,Living_area_Launch,Made_s_room,Washing_Room,Store_Room,A_C,TwentyFour_hours_Security,Swimming_pool,Gym,Roof_Terrace,Location,Car_parkings,price_Million
Two bedrooms apartment for sale in Shangri-la...,2500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"447 Luna Tower - Union Place, Colombo 02 | Type...",4510,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"447 Luna Tower - Union Place, Colombo 02 - Type...",1710,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Colombo.02 Shangri La 02 Bedroom Apartment For...,2040,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
On320 2 Bedroom Furnished Apartment for ...,2090,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Cinnamon Life 2 Bedroom Luxuriously Furnished...,2700,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Cinnamon Life Fully Furnished 2 Bed Apartment...,3200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
55 Million value Apartment selling for 50 Million...,1744,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Luxury Apartment for Sale in Colombo 2 CA585,3600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,2250,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
3bed with 2 car parks at On320,2100,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Beira / Ocean View Luxury Apartment at Capitol...,2800,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
447 Luna Tower - Type C2 (2 bedrooms),2900,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,2666,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"Altair, 03 Bedroom Unfurnished Appartment for...",3596,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"On320, 02 Bedroom Fully Furnished Apartment For...",2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"Shangril-La, 02 Bedroom Unfurnished Apartment...",2003,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
OnThree20 03 Bedroom Furnished Apartment for Sale...,4600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
OnThree20 03 BedRoom Furnished Apartment for Sale...,2996,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Apartment for Sale - The Residences at One Galle...,3400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Shangri La Apartment 2 Bedroom Furnished Apartment...,1907,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2000,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
2BR Quality Modern Luxury Living at the Heart...,1250,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"Penthouses in Colombo for sale Shangri-La, CCC,...",2100,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
2 Bedroom Apartment for Sale in One Galle Face...,7200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Shangri-la Apartment for Sale,1700,3,2,3,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,2882,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Colombo 1 One Galle Face 4BR Apartment F...,2700,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Brand New 02 Bedroom Untouched Apartment for sale...,1717,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
SHANGRI-LA Two Bedroom Apartment For Sale,2100,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
CINNAMON LIFE Three Bedroom Apartment for sale...,2750,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Two bedrooms apartment for sale in Shangri-la...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"447 Luna Tower - Union Place, Colombo 02 | Type...",1892,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
"447 Luna Tower - Union Place, Colombo 02 - Type...",2031,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
1 Bedroom Apartment For Sale In Colombo 2 For...,2000,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Colombo.02 Shangri La 02 Bedroom Apartment For...,4800,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
Altair 4 Bedroom Luxurious Apartment for Sale...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.42857143
On320 2 Bedroom Furnished Apartment for ...,2690,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.32142857
Cinnamon Life 2 Bedroom Luxuriously Furnished...,3584,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.32142857
55 Million value Apartment selling for 50 Million...,1740,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.32142857
Best Price | 2 bedroom large layout | furnished...,2650,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.32142857
Luxury Apartment for Sale in Colombo 2 CA585,2600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.32142857
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,2250,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.32142857
3bed with 2 car parks at On320,2650,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
Furnished Brand New - 3 Bedrooms At Altair,2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
Beira / Ocean View Luxury Apartment at Capitol...,2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
447 Luna Tower - Type D (3 bedrooms),2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
447 Luna Tower - Type C2 (2 bedrooms),3500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,2928,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
"Altair, 03 Bedroom Unfurnished Appartment for...",2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
"Altair, 03 Bedroom Unfurnished Appartment for...",2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
"On320, 02 Bedroom Fully Furnished Apartment For...",2990,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
"Shangril-La, 02 Bedroom Unfurnished Apartment...",2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
OnThree20 03 BedRoom Furnished Apartment for Sale...,2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
447 Luna Tower 02 Bedroom Unfurnished Apartment...,2485,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.21428571
OnThree20 03 BedRoom Furnished Apartment for Sale...,2425,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.10714286
Apartment for Sale - The Residences at One Galle...,2774,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.10714286
Shangri La Apartment 2 Bedroom Furnished Apartment...,2774,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21.10714286
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2006,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21
2BR Quality Modern Luxury Living at the Heart...,2006,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21
The One Gall face residence (Shangri-La) For Sale...,3630,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,21
Move into one of the finest units at Shangri-La...,2830,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
2 Bedroom Apartment for Sale in One Galle Face...,3850,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Shangri-la Apartment for Sale,3630,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Colombo 1 One Galle Face 4BR Apartment F...,2200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Brand New 02 Bedroom Untouched Apartment for sale...,2250,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Luxury Apartment For Sale in Colombo 1,2600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Apartment for Sale in Shangri-la Residence / One...,2776,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
CINNAMON LIFE Three Bedroom Apartment for sale...,2370,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Two bedrooms apartment for sale in Shangri-la...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
"447 Luna Tower - Union Place, Colombo 02 | Type...",2932,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
447 Luna Tower - Type D (3 bedrooms),3900,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
1 Bedroom Apartment For Sale In Colombo 2 For...,2388,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Colombo.02 Shangri La 02 Bedroom Apartment For...,2600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
OnThree20 - 04 Bedroom Apartment for Sa...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
On320 2 Bedroom Furnished Apartment for ...,2425,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.89285714
Cinnamon Life Fully Furnished 2 Bed Apartment...,1700,3,2,3,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.78571429
55 Million value Apartment selling for 50 Million...,2732,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.78571429
Luxury Apartment for Sale in Colombo 2 CA585,1950,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.67857143
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,3410,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.57142857
Luxury 4 Bedroom apartment for sale in Colombo...,2273,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.57142857
3bed with 2 car parks at On320,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.57142857
Furnished Brand New - 3 Bedrooms At Altair,2470,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.57142857
Beira / Ocean View Luxury Apartment at Capitol...,1875,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.57142857
447 Luna Tower - Type D (3 bedrooms),2690,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.46428571
447 Luna Tower - Type C2 (2 bedrooms),2690,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.46428571
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,3250,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.46428571
"Altair, 03 Bedroom Unfurnished Appartment for...",1740,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.46428571
"Altair, 03 Bedroom Unfurnished Appartment for...",1736,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
OnThree20 03 Bedroom Furnished Apartment for Sale...,4800,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
447 Luna Tower 02 Bedroom Unfurnished Apartment...,2524,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
OnThree20 03 BedRoom Furnished Apartment for Sale...,2200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Apartment for Sale - The Residences at One Galle...,3200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Shangri La Apartment 2 Bedroom Furnished Apartment...,1910,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
2BR Quality Modern Luxury Living at the Heart...,2145,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
The One Gall face residence (Shangri-La) For Sale...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,2420,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Move into one of the finest units at Shangri-La...,3400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1900,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
2 Bedroom Apartment for Sale in One Galle Face...,2901,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Shangri-la Apartment for Sale,1776,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,2500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Brand New 02 Bedroom Untouched Apartment for sale...,2830,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Luxury Apartment For Sale in Colombo 1,2439,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Apartment for Sale in Shangri-la Residence / One...,1900,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
CINNAMON LIFE Three Bedroom Apartment for sale...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
"447 Luna Tower - Union Place, Colombo 02 | Type...",3019,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Colombo.02 Shangri La 02 Bedroom Apartment For...,2200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Altair 4 Bedroom Luxurious Apartment for Sale...,1952,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Cinnamon Life 2 Bedroom Luxuriously Furnished...,2100,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.35714286
Cinnamon Life Fully Furnished 2 Bed Apartment...,1985,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.25
55 Million value Apartment selling for 50 Million...,2658,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.25
Best Price | 2 bedroom large layout | furnished...,2597,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.25
Luxury Apartment for Sale in Colombo 2 CA585,2375,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.25
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,2503,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.14285714
3bed with 2 car parks at On320,2790,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.14285714
Furnished Brand New - 3 Bedrooms At Altair,3075,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.14285714
Beira / Ocean View Luxury Apartment at Capitol...,2695,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.14285714
447 Luna Tower - Type D (3 bedrooms),1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.03571429
447 Luna Tower - Type C2 (2 bedrooms),2200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.03571429
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,2658,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.03571429
"Altair, 03 Bedroom Unfurnished Appartment for...",2275,4,3,4,2,3,2,3,3,Yes,Yes,No,No,Yes,Hulsfdorf,3,20.03571429
"Altair, 03 Bedroom Unfurnished Appartment for...",2850,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.92857143
OnThree20 03 Bedroom Furnished Apartment for Sale...,2420,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,1870,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Apartment for Sale - The Residences at One Galle...,2519,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Shangri La Apartment 2 Bedroom Furnished Apartment...,2401,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
2BR Quality Modern Luxury Living at the Heart...,2000,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
The One Gall face residence (Shangri-La) For Sale...,2885,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
"Penthouses in Colombo for sale Shangri-La, CCC,...",204,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",2690,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
2 Bedroom Apartment for Sale in One Galle Face...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,3500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Colombo 1 One Galle Face 4BR Apartment F...,2439,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Brand New 02 Bedroom Untouched Apartment for sale...,2275,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
SHANGRI-LA Two Bedroom Apartment For Sale,1900,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Luxury Apartment For Sale in Colombo 1,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
"447 Luna Tower - Union Place, Colombo 02 | Type...",1760,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
"447 Luna Tower - Union Place, Colombo 02 - Type...",2360,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
1 Bedroom Apartment For Sale In Colombo 2 For...,2500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Colombo.02 Shangri La 02 Bedroom Apartment For...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
OnThree20 - 04 Bedroom Apartment for Sa...,1750,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Altair 4 Bedroom Luxurious Apartment for Sale...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.82142857
Cinnamon Life Fully Furnished 2 Bed Apartment...,1976,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.71428571
55 Million value Apartment selling for 50 Million...,1719,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.71428571
Best Price | 2 bedroom large layout | furnished...,2280,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.71428571
Luxury Apartment for Sale in Colombo 2 CA585,3044,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.60714286
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1932,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.60714286
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,2872,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.60714286
Luxury 4 Bedroom apartment for sale in Colombo...,2030,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.5
3bed with 2 car parks at On320,2275,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.5
Beira / Ocean View Luxury Apartment at Capitol...,2500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.39285714
447 Luna Tower - Type D (3 bedrooms),2600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
"Shangril-La, 02 Bedroom Unfurnished Apartment...",3040,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
OnThree20 03 Bedroom Furnished Apartment for Sale...,1700,3,2,3,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
OnThree20 03 BedRoom Furnished Apartment for Sale...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
447 Luna Tower 02 Bedroom Unfurnished Apartment...,2200,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
OnThree20 03 BedRoom Furnished Apartment for Sale...,2319,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Shangri La Apartment 2 Bedroom Furnished Apartment...,2430,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1875,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
2BR Quality Modern Luxury Living at the Heart...,1750,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
The One Gall face residence (Shangri-La) For Sale...,3250,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Move into one of the finest units at Shangri-La...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",2270,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Shangri-la Apartment for Sale,2275,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Luxury Apartment For Sale In One Galle Face -...,2000,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Colombo 1 One Galle Face 4BR Apartment F...,1900,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Luxury Apartment For Sale in Colombo 1,2100,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
CINNAMON LIFE Three Bedroom Apartment for sale...,188,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Two bedrooms apartment for sale in Shangri-la...,1800,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
1 Bedroom Apartment For Sale In Colombo 2 For...,2500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Colombo.02 Shangri La 02 Bedroom Apartment For...,3600,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Altair 4 Bedroom Luxurious Apartment for Sale...,2502,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
On320 2 Bedroom Furnished Apartment for ...,2145,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Best Price | 2 bedroom large layout | furnished...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Luxury Apartment for Sale in Colombo 2 CA585,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Luxury 4 Bedroom apartment for sale in Colombo...,2400,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
Beira / Ocean View Luxury Apartment at Capitol...,2500,4,3,4,2,3,2,3,3,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
447 Luna Tower - Type D (3 bedrooms),1900,4,3,4,1,2,1,2,2,Yes,Yes,No,No,No,Hulsfdorf,3,19.28571429
